IDCliente,Genero,Idoso,PossuiParceiro,PossuiDependentes,MesesDeServico,ServicoTelefonico,MultiplasLinhas,TipoInternet,SegurancaOnline,BackupOnline,ProtecaoDispositivo,SuporteTecnico,StreamingTV,StreamingFilmes,TipoContrato,FaturaDigital,MetodoPagamento,CobrancaMensal,CobrancaTotal,Cancelou
7605-BDWDC,Feminino,0,Não,Não,31,Não,SemServicoTelefonico,DSL,Sim,Sim,Não,Sim,Não,Sim,Bienal,Sim,TransferenciaBancariaAutomatica,49.85,1520.1,Não
7137-RYLPP,Masculino,1,Sim,Não,37,Sim,Sim,FibraOptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,ChequeEletronico,85.7,3171.15,Sim
3207-OYBWH,Masculino,1,Sim,Não,57,Sim,Sim,FibraOptica,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,TransferenciaBancariaAutomatica,95.25,5427.05,Sim
4707-YNOQA,Feminino,0,Sim,Sim,34,Sim,Sim,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Anual,Sim,CartaoCreditoAutomatico,25.6,917.15,Não
6956-SMUCM,Feminino,0,Não,Não,3,Sim,Não,FibraOptica,Sim,Não,Sim,Não,Sim,Sim,Mensal,Sim,CartaoCreditoAutomatico,99.0,287.4,Sim
8714-CTZJW,Feminino,0,Não,Não,4,Sim,Não,FibraOptica,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,CartaoCreditoAutomatico,82.85,319.6,Não
3662-FXJFO,Feminino,0,Não,Não,54,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Sim,ChequeCorreio,20.5,1035.7,Não
7623-HKYRK,Masculino,0,Não,Sim,6,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,19.7,111.65,Não
1353-GHZOS,Masculino,0,Sim,Não,22,Sim,Não,DSL,Sim,Não,Não,Não,Sim,Não,Anual,Sim,TransferenciaBancariaAutomatica,59.75,1374.35,Não
3323-CPBWR,Masculino,0,Não,Não,23,Sim,Sim,FibraOptica,Não,Não,Sim,Sim,Sim,Não,Mensal,Sim,CartaoCreditoAutomatico,96.9,2085.45,Não
6152-ONASV,Feminino,0,Sim,Não,68,Sim,Sim,DSL,Sim,Não,Não,Sim,Não,Não,Anual,Não,TransferenciaBancariaAutomatica,58.25,3975.7,Não
9251-AWQGT,Feminino,0,Sim,Sim,48,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,ChequeCorreio,20.0,935.9,Não
4803-LBYPN,Masculino,0,Sim,Sim,34,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,20.8,635.9,Não
8879-ZKJOF,Feminino,0,Não,Não,41,Sim,Não,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Sim,TransferenciaBancariaAutomatica,79.85,3320.75,Não
7354-OIJLX,Masculino,0,Não,Não,9,Sim,Sim,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,ChequeEletronico,75.85,724.65,Não
9129-UXERG,Feminino,1,Não,Não,18,Sim,Sim,FibraOptica,Não,Sim,Não,Sim,Sim,Sim,Mensal,Sim,CartaoCreditoAutomatico,103.6,1806.35,Não
5302-BDJNT,Masculino,0,Não,Não,35,Sim,Sim,FibraOptica,Não,Não,Sim,Sim,Sim,Não,Mensal,Não,ChequeEletronico,95.5,3418.2,Não
7148-XZPHA,Masculino,0,Sim,Sim,55,Sim,Não,FibraOptica,Não,Sim,Não,Sim,Não,Não,Mensal,Não,ChequeEletronico,79.4,4238.45,Não
2651-ZCBXV,Masculino,0,Não,Não,54,Sim,Sim,FibraOptica,Sim,Sim,Não,Sim,Sim,Sim,Bienal,Sim,CartaoCreditoAutomatico,108.0,5760.65,Não
1304-NECVQ,Feminino,1,Não,Não,2,Sim,Sim,FibraOptica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,ChequeEletronico,78.55,149.55,Sim
3374-TTZTK,Masculino,0,Sim,Não,52,Sim,Não,FibraOptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,ChequeEletronico,106.3,5487.0,Não
0229-LFJAF,Masculino,0,Não,Não,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Não,Não,Bienal,Não,TransferenciaBancariaAutomatica,69.65,4908.25,Não
1304-BCCFO,Masculino,0,Sim,Não,9,Sim,Não,DSL,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,ChequeCorreio,70.05,564.4,Não
0455-XFASS,Feminino,0,Sim,Sim,3,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,ChequeEletronico,69.55,200.2,Não
0221-WMXNQ,Masculino,1,Não,Não,4,Sim,Não,FibraOptica,Sim,Não,Não,Não,Não,Não,Mensal,Não,ChequeEletronico,75.35,273.4,Não
2882-WDTBA,Masculino,0,Sim,Sim,69,Sim,Não,DSL,Sim,Sim,Sim,Sim,Sim,Não,Bienal,Sim,TransferenciaBancariaAutomatica,75.75,5388.15,Não
8069-RHUXK,Feminino,0,Sim,Sim,67,Não,SemServicoTelefonico,DSL,Sim,Não,Não,Sim,Não,Não,Bienal,Não,CartaoCreditoAutomatico,35.7,2545.7,Não
4806-KEXQR,Masculino,0,Não,Não,4,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,ChequeEletronico,79.9,324.3,Sim
2817-NTQDO,Masculino,0,Não,Não,13,Não,SemServicoTelefonico,DSL,Sim,Não,Não,Sim,Sim,Não,Mensal,Sim,CartaoCreditoAutomatico,45.55,597.0,Sim
3230-IUALN,Feminino,0,Sim,Sim,45,Sim,Não,DSL,Sim,Não,Sim,Sim,Sim,Sim,Bienal,Sim,ChequeCorreio,81.0,3533.6,Não
6500-JVEGC,Masculino,0,Não,Não,68,Sim,Sim,FibraOptica,Sim,Sim,Sim,Não,Sim,Não,Anual,Não,TransferenciaBancariaAutomatica,101.35,7110.75,Não
7103-ZGVNT,Feminino,0,Sim,Sim,69,Sim,Sim,DSL,Sim,Sim,Não,Sim,Sim,Não,Anual,Não,CartaoCreditoAutomatico,73.7,4885.85,Não
1837-YQUCE,Feminino,0,Não,Não,70,Não,SemServicoTelefonico,DSL,Sim,Não,Sim,Sim,Sim,Sim,Bienal,Sim,TransferenciaBancariaAutomatica,58.35,4214.25,Não
4800-VHZKI,Feminino,0,Não,Não,1,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Sim,ChequeCorreio,19.9,19.9,Sim
3887-PBQAO,Feminino,0,Sim,Sim,45,Sim,Sim,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Anual,Sim,CartaoCreditoAutomatico,25.9,1216.6,Não
5177-RVZNU,Feminino,0,Não,Sim,37,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Anual,Não,TransferenciaBancariaAutomatica,20.3,755.4,Não
1729-VLAZJ,Feminino,0,Não,Sim,10,Não,SemServicoTelefonico,DSL,Sim,Sim,Não,Sim,Não,Não,Anual,Não,ChequeCorreio,40.25,411.45,Não
4273-MBHYA,Feminino,0,Não,Sim,1,Sim,Não,FibraOptica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,ChequeEletronico,89.35,89.35,Não
8690-UPCZI,Masculino,0,Sim,Sim,29,Sim,Sim,DSL,Sim,Não,Não,Sim,Sim,Não,Anual,Não,TransferenciaBancariaAutomatica,69.05,1958.45,Não
6374-NTQLP,Masculino,1,Sim,Sim,72,Sim,Não,FibraOptica,Sim,Não,Sim,Sim,Sim,Sim,Bienal,Sim,CartaoCreditoAutomatico,104.1,7447.7,Não
1618-CFHME,Feminino,0,Não,Não,2,Sim,Sim,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,ChequeEletronico,75.9,143.35,Sim
4104-PVRPS,Masculino,0,Sim,Não,24,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,Não,ChequeCorreio,53.6,1315.35,Não
4210-QFJMF,Feminino,0,Não,Não,4,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,ChequeEletronico,79.15,317.25,Sim
5787-KXGIY,Masculino,0,Sim,Não,72,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,CartaoCreditoAutomatico,19.3,1304.8,Não
3088-LHEFH,Feminino,0,Não,Não,11,Sim,Sim,FibraOptica,Sim,Não,Não,Não,Não,Não,Mensal,Sim,TransferenciaBancariaAutomatica,79.0,929.3,Não
8896-RAZCR,Feminino,0,Não,Sim,44,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,ChequeCorreio,19.9,868.1,Não
7268-WNTCP,Masculino,0,Sim,Sim,62,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,TransferenciaBancariaAutomatica,20.45,1297.35,Não
5854-KSRBJ,Masculino,0,Sim,Sim,70,Sim,Sim,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,ChequeCorreio,25.4,1782.05,Não
9907-SWKKF,Feminino,1,Não,Não,1,Não,SemServicoTelefonico,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,ChequeCorreio,25.05,25.05,Sim
3932-CMDTD,Feminino,0,Não,Não,4,Sim,Não,FibraOptica,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,ChequeEletronico,105.65,443.9,Sim
5277-ZLOOR,Feminino,1,Não,Não,2,Sim,Sim,FibraOptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,ChequeEletronico,85.55,187.45,Sim
2746-DIJLO,Feminino,0,Não,Não,41,Sim,Sim,DSL,Não,Sim,Não,Não,Não,Não,Anual,Sim,CartaoCreditoAutomatico,56.3,2364.0,Não
9174-FKWZE,Feminino,1,Não,Não,1,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Sim,ChequeEletronico,19.45,19.45,Sim
9919-FZDED,Masculino,1,Sim,Não,72,Sim,Sim,DSL,Sim,Sim,Sim,Não,Sim,Sim,Bienal,Sim,CartaoCreditoAutomatico,84.1,5981.65,Não
9488-FYQAU,Feminino,0,Sim,Não,63,Sim,Sim,FibraOptica,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,TransferenciaBancariaAutomatica,109.25,6841.4,Não
6869-FGJJC,Masculino,0,Não,Não,68,Sim,Não,FibraOptica,Não,Sim,Sim,Não,Não,Não,Anual,Não,CartaoCreditoAutomatico,79.6,5461.45,Não
3349-ANQNH,Feminino,1,Não,Não,59,Sim,Sim,FibraOptica,Não,Não,Sim,Não,Sim,Sim,Anual,Sim,ChequeEletronico,99.5,5890.0,Não
0222-CNVPT,Masculino,1,Não,Não,52,Não,SemServicoTelefonico,DSL,Sim,Não,Não,Não,Sim,Sim,Mensal,Sim,CartaoCreditoAutomatico,48.8,2555.05,Não
6900-PXRMS,Masculino,1,Sim,Sim,26,Sim,Sim,FibraOptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Não,ChequeEletronico,105.75,2710.25,Sim
0230-WEQUW,Masculino,0,Sim,Não,66,Não,SemServicoTelefonico,DSL,Sim,Sim,Sim,Sim,Sim,Não,Bienal,Sim,TransferenciaBancariaAutomatica,56.6,3789.2,Não
7629-WFGLW,Feminino,1,Sim,Não,56,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Não,Não,Anual,Não,ChequeEletronico,95.65,5471.75,Não
2235-EZAIK,Feminino,0,Sim,Não,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Bienal,Não,CartaoCreditoAutomatico,79.2,5401.9,Não
5119-NZPTV,Masculino,1,Sim,Não,2,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Não,ChequeEletronico,70.1,141.65,Não
4282-MSACW,Masculino,0,Não,Não,68,Sim,Sim,FibraOptica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,CartaoCreditoAutomatico,117.2,8035.95,Não
7711-YIJWC,Masculino,0,Sim,Sim,61,Sim,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Não,TransferenciaBancariaAutomatica,84.9,5264.5,Não
8749-CLJXC,Masculino,0,Não,Não,1,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,20.05,20.05,Não
7636-XUHWW,Masculino,0,Não,Não,2,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Sim,CartaoCreditoAutomatico,19.9,33.7,Não
0883-EIBTI,Feminino,0,Não,Não,2,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,19.5,31.55,Sim
4098-NAUKP,Masculino,1,Sim,Sim,68,Sim,Sim,FibraOptica,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,ChequeEletronico,84.65,5683.6,Não
0701-TJSEF,Masculino,0,Não,Não,9,Sim,Não,DSL,Sim,Não,Sim,Sim,Não,Sim,Mensal,Sim,TransferenciaBancariaAutomatica,68.25,576.95,Não
0689-NKYLF,Masculino,0,Não,Não,13,Sim,Não,FibraOptica,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,ChequeEletronico,83.2,1060.6,Sim
9867-NNXLC,Feminino,0,Não,Não,22,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Sim,ChequeCorreio,20.05,470.2,Não
9337-SRRNI,Masculino,0,Não,Sim,66,Sim,Sim,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Sim,CartaoCreditoAutomatico,25.3,1673.8,Não
1850-AKQEP,Masculino,0,Não,Sim,8,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,20.35,178.7,Não
5600-KTXFM,Masculino,0,Sim,Sim,2,Sim,Não,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Não,ChequeCorreio,69.95,143.9,Não
7055-HNEOJ,Masculino,0,Sim,Não,3,Sim,Não,DSL,Não,Não,Sim,Sim,Não,Não,Mensal,Sim,ChequeCorreio,55.8,154.55,Não
2462-XIIJB,Masculino,0,Não,Não,5,Sim,Sim,FibraOptica,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,ChequeEletronico,92.5,452.7,Sim
7277-KAMWT,Masculino,0,Não,Não,13,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,CartaoCreditoAutomatico,20.0,268.45,Não
7691-KGKGP,Masculino,0,Sim,Sim,53,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Não,Mensal,Não,CartaoCreditoAutomatico,65.0,3363.8,Não
7808-DVWEP,Masculino,0,Sim,Não,3,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,TransferenciaBancariaAutomatica,20.0,49.65,Não
2379-GYFLQ,Masculino,0,Não,Não,46,Sim,Sim,FibraOptica,Não,Sim,Sim,Não,Sim,Não,Anual,Sim,CartaoCreditoAutomatico,94.9,4422.95,Não
7325-ENZFI,Feminino,0,Não,Não,39,Não,SemServicoTelefonico,DSL,Sim,Sim,Não,Sim,Não,Não,Anual,Sim,TransferenciaBancariaAutomatica,40.3,1630.4,Não
8800-ZKRFW,Feminino,0,Sim,Sim,30,Sim,Sim,FibraOptica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,ChequeEletronico,107.5,3242.5,Não
9133-AYJZG,Feminino,0,Não,Não,23,Sim,Sim,FibraOptica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,CartaoCreditoAutomatico,98.7,2249.1,Não
6772-WFQRD,Masculino,0,Não,Sim,40,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Anual,Sim,TransferenciaBancariaAutomatica,20.4,854.9,Não
9670-BPNXF,Feminino,0,Não,Não,45,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Não,Anual,Sim,CartaoCreditoAutomatico,62.55,2796.45,Não
2675-IJRGJ,Masculino,0,Não,Não,53,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,TransferenciaBancariaAutomatica,19.65,978.0,Não
4829-ZLJTK,Feminino,1,Sim,Não,72,Sim,Sim,FibraOptica,Sim,Sim,Sim,Não,Sim,Sim,Bienal,Sim,ChequeEletronico,112.4,8046.85,Não
9950-MTGYX,Masculino,0,Sim,Sim,28,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Sim,CartaoCreditoAutomatico,20.3,487.95,Não
9755-JHNMN,Feminino,0,Não,Não,49,Sim,Não,DSL,Sim,Sim,Sim,Sim,Não,Não,Bienal,Não,TransferenciaBancariaAutomatica,67.4,3306.85,Não
3746-EUBYR,Masculino,0,Sim,Não,1,Sim,Sim,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Sim,TransferenciaBancariaAutomatica,74.6,74.6,Sim
7929-DMBCV,Feminino,0,Sim,Não,20,Sim,Não,FibraOptica,Não,Não,Sim,Sim,Não,Não,Mensal,Sim,ChequeCorreio,81.0,1683.7,Não
9640-ZSLDC,Feminino,0,Sim,Sim,53,Sim,Não,DSL,Não,Não,Sim,Não,Não,Sim,Anual,Não,CartaoCreditoAutomatico,60.6,3297.0,Não
7197-VOJMM,Masculino,0,Sim,Não,67,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Sim,Bienal,Sim,CartaoCreditoAutomatico,69.2,4671.65,Não
2696-NARTR,Masculino,0,Não,Não,11,Sim,Não,FibraOptica,Não,Não,Não,Sim,Não,Não,Mensal,Sim,ChequeEletronico,73.85,926.25,Sim
0689-DSXGL,Feminino,0,Sim,Sim,52,Sim,Não,FibraOptica,Não,Sim,Sim,Sim,Não,Não,Mensal,Não,TransferenciaBancariaAutomatica,85.8,4433.3,Não
7294-TMAOP,Feminino,0,Não,Não,1,Sim,Não,FibraOptica,Não,Não,Não,Não,Sim,Sim,Mensal,Não,ChequeEletronico,90.55,90.55,Sim
6177-PEVRA,Feminino,0,Não,Não,48,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Bienal,Não,CartaoCreditoAutomatico,55.5,2627.35,Não
7410-YTJIK,Feminino,0,Não,Não,7,Sim,Sim,FibraOptica,Não,Não,Não,Não,Não,Não,Mensal,Não,ChequeCorreio,75.45,480.75,Sim
1410-RSCMR,Masculino,0,Sim,Sim,7,Sim,Não,DSL,Sim,Não,Sim,Sim,Não,Sim,Mensal,Sim,CartaoCreditoAutomatico,71.35,515.75,Não
8800-JOOCF,Feminino,0,Não,Sim,12,Sim,Sim,FibraOptica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,ChequeEletronico,84.05,966.55,Não
4526-EXKKN,Masculino,0,Não,Não,40,Sim,Sim,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Sim,ChequeCorreio,24.6,973.95,Não
0813-TAXXS,Masculino,0,Não,Não,55,Sim,Sim,DSL,Não,Não,Sim,Não,Sim,Sim,Bienal,Sim,TransferenciaBancariaAutomatica,77.8,4323.35,Não
2320-TZRRH,Feminino,0,Não,Não,20,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Anual,Não,ChequeCorreio,19.5,403.15,Não
0841-NULXI,Masculino,0,Não,Não,1,Não,SemServicoTelefonico,DSL,Não,Não,Não,Não,Não,Sim,Mensal,Sim,ChequeEletronico,35.55,35.55,Sim
2725-TTRIQ,Feminino,0,Sim,Sim,72,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Bienal,Sim,TransferenciaBancariaAutomatica,84.2,5986.55,Não
4778-IZARL,Masculino,0,Sim,Não,63,Sim,Não,FibraOptica,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,CartaoCreditoAutomatico,110.1,6705.7,Não
2535-PBCGC,Feminino,0,Sim,Não,70,Não,SemServicoTelefonico,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Não,TransferenciaBancariaAutomatica,64.55,4504.9,Não
3629-WEAAM,Feminino,0,Não,Não,8,Sim,Não,DSL,Não,Não,Sim,Sim,Não,Sim,Mensal,Não,ChequeCorreio,64.1,504.05,Não
6128-CZOMY,Feminino,0,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,ChequeEletronico,45.65,45.65,Sim
9227-UAQFT,Masculino,0,Não,Não,16,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,ChequeCorreio,19.75,284.35,Não
0804-XBFBV,Feminino,0,Não,Sim,11,Não,SemServicoTelefonico,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,ChequeEletronico,25.2,321.05,Não
4503-BDXBD,Masculino,0,Não,Não,11,Sim,Não,FibraOptica,Não,Sim,Não,Não,Não,Não,Mensal,Não,ChequeEletronico,74.95,815.5,Sim
9626-VFRGG,Feminino,0,Não,Sim,41,Sim,Sim,FibraOptica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,TransferenciaBancariaAutomatica,88.5,3645.05,Não
4994-OBRSZ,Masculino,0,Não,Sim,14,Sim,Não,DSL,Sim,Sim,Sim,Sim,Não,Sim,Bienal,Não,TransferenciaBancariaAutomatica,76.1,1054.8,Não
3654-ARMGP,Feminino,0,Não,Não,61,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Não,CartaoCreditoAutomatico,88.65,5321.25,Não
0829-XXPLX,Feminino,0,Não,Não,20,Sim,Não,FibraOptica,Sim,Não,Sim,Não,Sim,Não,Mensal,Sim,TransferenciaBancariaAutomatica,89.4,1871.15,Não
8938-UMKPI,Feminino,0,Não,Não,47,Sim,Sim,FibraOptica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,ChequeEletronico,106.4,5127.95,Sim
4854-SSLTN,Masculino,0,Sim,Sim,2,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Não,Bienal,Não,ChequeCorreio,59.5,130.5,Não
9720-JJJOR,Masculino,0,Sim,Sim,41,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Anual,Sim,TransferenciaBancariaAutomatica,60.3,2511.3,Não
1926-QUZNN,Feminino,0,Sim,Não,72,Sim,Sim,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Sim,TransferenciaBancariaAutomatica,25.25,1841.2,Não
4900-MSOMT,Feminino,0,Sim,Sim,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Bienal,Não,TransferenciaBancariaAutomatica,80.2,5714.2,Não
8910-ICHIU,Feminino,0,Não,Não,46,Sim,Não,FibraOptica,Sim,Sim,Sim,Não,Sim,Não,Anual,Sim,CartaoCreditoAutomatico,95.65,4664.2,Não
4892-VLANZ,Masculino,0,Não,Não,1,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Mensal,Não,ChequeCorreio,19.8,19.8,Sim
0076-LVEPS,Masculino,0,Não,Sim,29,Não,SemServicoTelefonico,DSL,Sim,Sim,Sim,Sim,Não,Não,Mensal,Sim,ChequeCorreio,45.0,1242.45,Não
1666-JXLKU,Feminino,0,Não,Não,37,Sim,Sim,FibraOptica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,ChequeEletronico,100.05,3810.55,Não
4003-FUSHP,Masculino,0,Não,Não,19,Sim,Não,DSL,Não,Não,Não,Sim,Sim,Não,Mensal,Sim,CartaoCreditoAutomatico,61.55,1093.2,Não
7696-AMHOD,Feminino,0,Sim,Sim,49,Sim,Não,DSL,Não,Sim,Sim,Não,Sim,Sim,Anual,Não,CartaoCreditoAutomatico,78.0,3824.2,Não
8082-GHXOP,Masculino,0,Não,Sim,13,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,ChequeCorreio,44.0,659.35,Não
5445-GLVOT,Feminino,0,Não,Não,22,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,ChequeEletronico,49.8,1049.05,Não
5195-KPUNQ,Feminino,1,Não,Não,53,Sim,Não,FibraOptica,Sim,Sim,Não,Sim,Não,Sim,Anual,Sim,ChequeCorreio,96.75,5206.55,Não
3948-XHGNA,Masculino,0,Não,Não,24,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,TransferenciaBancariaAutomatica,49.55,1210.4,Sim
9624-EGDEQ,Feminino,0,Não,Não,37,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,ChequeCorreio,19.8,813.3,Não
7551-DACSP,Masculino,0,Sim,Sim,6,Sim,Não,DSL,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,ChequeCorreio,55.3,324.25,Sim
8128-YVJRG,Feminino,0,Não,Não,7,Sim,Sim,FibraOptica,Sim,Não,Não,Não,Não,Não,Mensal,Sim,ChequeCorreio,79.65,604.7,Sim
1038-ZAGBI,Feminino,0,Sim,Sim,12,Sim,Não,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Anual,Não,TransferenciaBancariaAutomatica,19.8,229.6,Sim
9153-BTBVV,Feminino,0,Sim,Não,71,Sim,Sim,Não,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,SemServicoInternet,Bienal,Não,TransferenciaBancariaAutomatica,25.0,1753.0,Não
9470-RTWDV,Masculino,0,Sim,Sim,26,Sim,Sim,DSL,Não,Não,Sim,Sim,Sim,Sim,Anual,Sim,CartaoCreditoAutomatico,82.0,2083.1,Não
7554-AKDQF,Feminino,0,Sim,Não,6,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,ChequeCorreio,45.65,323.45,Não
7241-AJHFS,Masculino,0,Não,Não,32,Sim,Sim,FibraOptica,Sim,Não,Não,Sim,Não,Não,Mensal,Não,TransferenciaBancariaAutomatica,87.65,2766.4,Não
